id,name_cn,name_en,beizhu
1,北京大学,Peking University,((PEKING UNIV*) WN AF)
2,北京工业大学,Beijing University of Technology,((Beijing University of Technology) WN AF) 
3,北京航空航天大学,Beihang University,((BEIHANG UNIV*) WN AF)
4,北京化工大学,Beijing University Of Chemical Technology,((Beijing University Of Chemical Technology) WN AF) 
5,北京交通大学,Beijing Jiaotong University,((Beijing Jiaotong University) WN AF) 
6,北京科技大学,University Of Science & Technology Beijing,((University Of Science & Technology Beijing) WN AF) 
7,北京理工大学,Beijing Institute of Technology,((BEIJING INSTITUTE OF TECHNOLOGY) WN AF)
8,北京师范大学,Beijing Normal University,((Beijing Normal University) WN AF) 
9,北京外国语大学,Beijing Foreign Studies University,((Beijing Foreign Studies University) WN AF) 
10,北京协和医学院,Peking Union Medical College,((Peking Union Medical College) WN AF) 
11,北京邮电大学,Beijing University Of Posts And Telecommunications,((Beijing University Of Posts And Telecommunications) WN AF) 
12,大连理工大学,Dalian University of Technology,((Dalian University of Technology*) WN AF)
13,第二军医大学,The Second Military Medical University,((The Second Military Medical University) WN AF) 
14,电子科技大学,University of Electronic Science & Technology of China,((UNIVERSITY OF ELECTRONIC SCIENCE AND TECHNOLOGY OF CHINA) WN AF)
15,东北财经大学,Northeastern University - China,((Northeastern University - China*) WN AF)
16,东北大学,Northeastern University,((Northeastern University) WN AF) 
17,东北师范大学,Northeast Normal University,((Northeast Normal University) WN AF) 
18,东南大学,Southeast University - China,((Southeast University - China*) WN AF)
19,对外经济贸易大学,University Of International Business And Economics,((University Of International Business And Economics) WN AF) 
20,福州大学,Fuzhou University,((Fuzhou University) WN AF) 
21,复旦大学,Fudan University,((FUDAN UNIV*) WN AF)
22,广东工业大学,Guangdong University Of Technology,((Guangdong University Of Technology) WN AF) 
23,广东外语外贸大学,Guangdong University Of Foreign Studies,((Guangdong University Of Foreign Studies) WN AF) 
24,国防科技大学,National University of Defence Technology - China,((National University of Defence Technology - China*) WN AF)
25,哈尔滨工程大学,Harbin Engineering University,((Harbin Engineering University) WN AF) 
26,哈尔滨工业大学,Harbin Institute of Technology,((HARBIN INSTITUTE OF TECHNOLOGY) WN AF)
27,河海大学,Hohai University,((Hohai University) WN AF) 
28,黑龙江大学,Heilongjiang University,((Heilongjiang University) WN AF) 
29,湖南大学,Hunan University,((Hunan University*) WN AF)
30,华东理工大学,East China University Of Science And Technology,((East China University Of Science And Technology) WN AF) 
31,华东师范大学,East China Normal University,((East China Normal University*) WN AF)
32,华东政法大学,East China University Of Political Science And Law,((East China University Of Political Science And Law) WN AF) 
33,华南理工大学,South China University of Technology,((South China University of Technology*) WN AF)
34,华中科技大学,Huazhong University of Science & Technology,((Huazhong University of Science & Technology*) WN AF)
35,华中农业大学,Huazhong Agricultural University,((Huazhong Agricultural University) WN AF) 
36,华中师范大学,Central China Normal University,((Central China Normal University) WN AF) 
37,火箭军工程大学,Rocket Force?University of Engineering,((Rocket Force?University of Engineering) WN AF) 
38,吉林大学,Jilin University,((JILIN UNIV*) WN AF)
39,江南大学,Jiangnan University,((Jiangnan University) WN AF) 
40,江西财经大学,Jiangxi University Of Finance And Economics,((Jiangxi University Of Finance And Economics) WN AF) 
41,中国人民解放军理工大学,PLA University of Science and Technology,((PLA University of Science and Technology) WN AF) 
42,解放军信息工程大学,Information Engineering University,((Information Engineering University) WN AF) 
43,兰州大学,Lanzhou University,((Lanzhou University*) WN AF)
44,南昌大学,Nanchang University,((Nanchang University) WN AF) 
45,南京大学,Nanjing University,((NANJING UNIV*) WN AF)
46,南京工业大学,Nanjing Tech University,((Nanjing Tech University) WN AF) 
47,南京理工大学,Nanjing University Of Science And Technology,((Nanjing University Of Science And Technology) WN AF) 
48,南京农业大学,Nanjing Agricultural University,((Nanjing Agricultural University) WN AF) 
49,南京师范大学,Nanjing Normal University,((Nanjing Normal University) WN AF) 
50,南京信息工程大学,Nanjing University Of Information Science &technology,((Nanjing University Of Information Science &technology) WN AF) 
51,南开大学,Nankai University,((NANKAI UNIV*) WN AF)
52,清华大学,Tsinghua University,((TSINGHUA UNIV*) WN AF)
53,厦门大学,Xiamen University,((Xiamen University*) WN AF)
54,山东大学,Shandong University,((Shandong University*) WN AF)
55,上海财经大学,Shanghai University of Finance and Economics,((Shanghai University of Finance and Economics) WN AF) 
56,上海海洋大学,Shanghai Ocean University,((Shanghai Ocean University) WN AF) 
57,上海交通大学,Shanghai Jiao Tong University,((SHANGHAI JIAO TONG UNIV*) WN AF)
58,沈阳药科大学,Shenyang Pharmaceutical University,((Shenyang Pharmaceutical University) WN AF) 
59,上海外国语大学,Shanghai International Studies University,((Shanghai International Studies University) WN AF) 
60,四川大学,Sichuan University,((SICHUAN UNIV*) WN AF)
61,首都师范大学,Capital Normal University,((Capital Normal University) WN AF) 
62,苏州大学,Soochow University,((Soochow University) WN AF) 
63,同济大学,Tongji University,((Tongji University*) WN AF)
64,天津大学,Tianjin University,((TIANJIN UNIV*) WN AF)
65,武汉大学,Wuhan University,((Wuhan University*) WN AF)
66,武汉理工大学,Wuhan University Of Technology,((Wuhan University Of Technology) WN AF) 
67,西安电子科技大学,Xidian University,((Xidian University) WN AF) 
68,西安交通大学,Xi'an Jiaotong University,(((((((XIAN JIAO TONG UNIV*) WN AF) OR ((XIAN JIAO-TONG UNIV*) WN AF)) OR ((XIAN JIAOTONG UNIV*) WN AF)) OR ((XI'AN JIAO TONG UNIV*) WN AF)) OR ((XI'AN JIAO-TONG UNIV*) WN AF)) OR ((XI'AN JIAOTONG UNIV*) WN AF))
69,西北工业大学,Northwestern Polytechnical University,((Northwestern Polytechnical University*) WN AF)
70,西南财经大学,Southwestern University Of Finance And Economics,((Southwestern University Of Finance And Economics) WN AF) 
71,西南政法大学,Southwest University Of Political Science And Law,((Southwest University Of Political Science And Law) WN AF) 
72,云南大学,Yunnan University,((Yunnan University*) WN AF)
73,西南交通大学,Southwest Jiaotong University,((Southwest Jiaotong University) WN AF) 
74,浙江大学,Zhejiang University,((ZHEJIANG UNIV*) WN AF)
75,长春理工大学,Changchun University Of Science And Technology,((Changchun University Of Science And Technology) WN AF) 
76,浙江工业大学,Zhejiang University Of Technology,((Zhejiang University Of Technology) WN AF) 
77,中国海洋大学,Ocean University of China,((Ocean University of China*) WN AF)
78,中国科学技术大学,University of Science & Technology of China,((UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA) WN AF)
79,中国地质大学,China University Of Geosciences,((China University Of Geosciences) WN AF) 
80,中国农业大学,China Agricultural University,((CHINA AGRICULTURAL UNIV*) WN AF)
81,中国人民大学,Renmin University of China,((RENMIN UNIVERSITY OF CHINA) WN AF)
82,中国矿业大学,China University of Mining and Technology,((China University of Mining and Technology) WN AF) 
83,中国药科大学,China Pharmaceutical University,((China Pharmaceutical University) WN AF) 
84,中国政法大学,China University of Political science and Law,((China University of Political science and Law) WN AF) 
85,中国石油大学,China University Of Petroleum,((China University Of Petroleum) WN AF) 
86,中山大学,Sun Yat-sen University,((Sun Yat-sen University*) WN AF)
87,中南大学,Central South University,((Central South University*) WN AF)
88,中央财经大学,Central University Of Finance And Economics,((Central University Of Finance And Economics) WN AF) 
89,中南财经政法大学,Zhongnan University Of Economics And Law,((Zhongnan University Of Economics And Law) WN AF) 
